factor,script,source_group,dependencies
FEPS,FEPS.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
fgr5yrLag,fgr5yrLag.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet
FirmAge,FirmAge.py,SignalMasterTable backbone,SignalMasterTable.parquet
FirmAgeMom,FirmAgeMom.py,SignalMasterTable backbone,SignalMasterTable.parquet
ForecastDispersion,ForecastDispersion.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
Frontier,Frontier.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
GP,GP.py,Annual/Monthly Compustat,m_aCompustat.parquet
GrAdExp,GrAdExp.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
grcapx,ZZ1_grcapx_grcapx1y_grcapx3y.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
grcapx3y,ZZ1_grcapx_grcapx1y_grcapx3y.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
GrLTNOA,GrLTNOA.py,Annual/Monthly Compustat,m_aCompustat.parquet
GrSaleToGrInv,GrSaleToGrInv.py,Annual/Monthly Compustat,m_aCompustat.parquet
GrSaleToGrOverhead,GrSaleToGrOverhead.py,Annual/Monthly Compustat,m_aCompustat.parquet
Herf,Herf.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
HerfAsset,HerfAsset.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
HerfBE,HerfBE.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
High52,High52.py,Daily CRSP,dailyCRSP.parquet
hire,hire.py,Annual/Monthly Compustat,m_aCompustat.parquet
IdioVol3F,ZZ0_RealizedVol_IdioVol3F_ReturnSkew3F.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
IdioVolAHT,ZZ2_IdioVolAHT.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
Illiquidity,Illiquidity.py,Daily CRSP,dailyCRSP.parquet
IndMom,IndMom.py,SignalMasterTable backbone,SignalMasterTable.parquet
IndRetBig,IndRetBig.py,SignalMasterTable backbone,SignalMasterTable.parquet
IntanBM,ZZ1_IntanBM_IntanSP_IntanCFP_IntanEP.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
IntanCFP,ZZ1_IntanBM_IntanSP_IntanCFP_IntanEP.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
IntanEP,ZZ1_IntanBM_IntanSP_IntanCFP_IntanEP.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
IntanSP,ZZ1_IntanBM_IntanSP_IntanCFP_IntanEP.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
IntMom,IntMom.py,SignalMasterTable backbone,SignalMasterTable.parquet
Investment,Investment.py,Annual/Monthly Compustat,m_aCompustat.parquet
InvestPPEInv,InvestPPEInv.py,Annual/Monthly Compustat,m_aCompustat.parquet
Leverage,Leverage.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
LRreversal,LRreversal.py,SignalMasterTable backbone,SignalMasterTable.parquet
MaxRet,MaxRet.py,Daily CRSP,dailyCRSP.parquet
MeanRankRevGrowth,MeanRankRevGrowth.py,Annual/Monthly Compustat,m_aCompustat.parquet
Mom12m,Mom12m.py,SignalMasterTable backbone,SignalMasterTable.parquet
Mom12mOffSeason,Mom12mOffSeason.py,SignalMasterTable backbone,SignalMasterTable.parquet
Mom6m,Mom6m.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomOffSeason,MomOffSeason.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomOffSeason06YrPlus,MomOffSeason06YrPlus.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomOffSeason11YrPlus,MomOffSeason11YrPlus.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomOffSeason16YrPlus,MomOffSeason16YrPlus.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomRev,MomRev.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomSeason,MomSeason.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomSeason06YrPlus,MomSeason06YrPlus.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomSeason11YrPlus,MomSeason11YrPlus.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomSeason16YrPlus,MomSeason16YrPlus.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomSeasonShort,MomSeasonShort.py,SignalMasterTable backbone,SignalMasterTable.parquet
MomVol,MomVol.py,SignalMasterTable backbone,SignalMasterTable.parquet; monthlyCRSP.parquet
MRreversal,MRreversal.py,SignalMasterTable backbone,SignalMasterTable.parquet
MS,MS.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_QCompustat.parquet; m_aCompustat.parquet
NetDebtFinance,NetDebtFinance.py,Annual/Monthly Compustat,m_aCompustat.parquet
NetDebtPrice,NetDebtPrice.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
NetEquityFinance,NetEquityFinance.py,Annual/Monthly Compustat,m_aCompustat.parquet
NetPayoutYield,NetPayoutYield.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
NOA,NOA.py,Annual/Monthly Compustat,m_aCompustat.parquet
NumEarnIncrease,NumEarnIncrease.py,Quarterly Compustat,SignalMasterTable.parquet; m_QCompustat.parquet
OperProf,OperProf.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
OperProfRD,OperProfRD.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
OPLeverage,OPLeverage.py,Annual/Monthly Compustat,m_aCompustat.parquet
OrderBacklog,OrderBacklog.py,Annual/Monthly Compustat,m_aCompustat.parquet
OrderBacklogChg,OrderBacklogChg.py,Annual/Monthly Compustat,m_aCompustat.parquet
PayoutYield,PayoutYield.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
PctAcc,PctAcc.py,Annual/Monthly Compustat,m_aCompustat.parquet
PctTotAcc,PctTotAcc.py,Annual/Monthly Compustat,m_aCompustat.parquet
PredictedFE,ZZ1_AnalystValue_AOP_PredictedFE_IntrinsicValue.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet; monthlyCRSP.parquet
Price,Price.py,SignalMasterTable backbone,SignalMasterTable.parquet
PriceDelayRsq,ZZ2_PriceDelaySlope_PriceDelayRsq_PriceDelayTstat.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
PriceDelaySlope,ZZ2_PriceDelaySlope_PriceDelayRsq_PriceDelayTstat.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
PriceDelayTstat,ZZ2_PriceDelaySlope_PriceDelayRsq_PriceDelayTstat.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
PS,PS.py,CRSP monthly + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet; monthlyCRSP.parquet
RD,RD.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
RDAbility,RDAbility.py,Other P1,a_aCompustat.parquet
RDcap,RDcap.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
realestate,realestate.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
RealizedVol,ZZ0_RealizedVol_IdioVol3F_ReturnSkew3F.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
ResidualMomentum,ZZ1_ResidualMomentum6m_ResidualMomentum.py,Monthly market / FF,monthlyCRSP.parquet; monthlyFF.parquet
ReturnSkew,ReturnSkew.py,Daily CRSP,dailyCRSP.parquet
ReturnSkew3F,ZZ0_RealizedVol_IdioVol3F_ReturnSkew3F.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
REV6,REV6.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
RevenueSurprise,RevenueSurprise.py,Quarterly Compustat,SignalMasterTable.parquet; m_QCompustat.parquet
roaq,roaq.py,Quarterly Compustat,SignalMasterTable.parquet; m_QCompustat.parquet
RoE,RoE.py,Annual/Monthly Compustat,m_aCompustat.parquet
sfe,sfe.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet
ShareIss1Y,ShareIss1Y.py,SignalMasterTable backbone,SignalMasterTable.parquet; monthlyCRSP.parquet
ShareIss5Y,ShareIss5Y.py,SignalMasterTable backbone,SignalMasterTable.parquet; monthlyCRSP.parquet
ShareRepurchase,ShareRepurchase.py,Annual/Monthly Compustat,m_aCompustat.parquet
ShareVol,ShareVol.py,SignalMasterTable backbone,SignalMasterTable.parquet; monthlyCRSP.parquet
Size,Size.py,SignalMasterTable backbone,SignalMasterTable.parquet
SP,SP.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
std_turn,std_turn.py,CRSP monthly,monthlyCRSP.parquet
STreversal,STreversal.py,SignalMasterTable backbone,SignalMasterTable.parquet
SurpriseRD,SurpriseRD.py,Annual/Monthly Compustat,m_aCompustat.parquet
tang,tang.py,Annual/Monthly Compustat,m_aCompustat.parquet
Tax,Tax.py,Annual/Monthly Compustat,m_aCompustat.parquet
TotalAccruals,TotalAccruals.py,Annual/Monthly Compustat,m_aCompustat.parquet
TrendFactor,TrendFactor.py,Daily CRSP,SignalMasterTable.parquet; dailyCRSP.parquet
UpRecomm,UpRecomm.py,IBES-based,IBES_Recommendations.parquet; SignalMasterTable.parquet
VarCF,VarCF.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
VolMkt,VolMkt.py,CRSP monthly,monthlyCRSP.parquet
VolSD,VolSD.py,CRSP monthly,monthlyCRSP.parquet
VolumeTrend,VolumeTrend.py,CRSP monthly,monthlyCRSP.parquet
XFIN,XFIN.py,Annual/Monthly Compustat,m_aCompustat.parquet
zerotrade12M,ZZ1_zerotrade_zerotradeAlt1_zerotradeAlt12.py,Daily CRSP,dailyCRSP.parquet
zerotrade1M,ZZ1_zerotrade_zerotradeAlt1_zerotradeAlt12.py,Daily CRSP,dailyCRSP.parquet
zerotrade6M,ZZ1_zerotrade_zerotradeAlt1_zerotradeAlt12.py,Daily CRSP,dailyCRSP.parquet
